trial_id,stimulus_id,condition,alpha,measure,value
definite_correct:qw_859|alpha=15|measure=wager_abstention,definite_correct:qw_859,definite_correct,15.0,wager_abstention,0.0004878571489825845
definite_correct:bb_20|alpha=15|measure=wager_abstention,definite_correct:bb_20,definite_correct,15.0,wager_abstention,0.020332353189587593
definite_correct:qb_7271|alpha=15|measure=wager_abstention,definite_correct:qb_7271,definite_correct,15.0,wager_abstention,0.9796676635742188
definite_correct:bb_9251|alpha=15|measure=wager_abstention,definite_correct:bb_9251,definite_correct,15.0,wager_abstention,0.7057850360870361
definite_false:qw_3582|alpha=15|measure=wager_abstention,definite_false:qw_3582,definite_false,15.0,wager_abstention,0.998498797416687
definite_false:bb_5317|alpha=15|measure=wager_abstention,definite_false:bb_5317,definite_false,15.0,wager_abstention,0.9997965693473816
definite_correct:qw_1253|alpha=15|measure=wager_abstention,definite_correct:qw_1253,definite_correct,15.0,wager_abstention,0.00029595711384899914
definite_false:qb_3987|alpha=15|measure=wager_abstention,definite_false:qb_3987,definite_false,15.0,wager_abstention,0.9988304972648621
definite_correct:qb_2589|alpha=15|measure=wager_abstention,definite_correct:qb_2589,definite_correct,15.0,wager_abstention,0.8354835510253906
definite_false:dpql_4053|alpha=15|measure=wager_abstention,definite_false:dpql_4053,definite_false,15.0,wager_abstention,0.9992903470993042
definite_correct:bb_9184|alpha=15|measure=wager_abstention,definite_correct:bb_9184,definite_correct,15.0,wager_abstention,0.9149009585380554
definite_correct:dpql_6083|alpha=15|measure=wager_abstention,definite_correct:dpql_6083,definite_correct,15.0,wager_abstention,0.00015843621804378927
definite_false:bb_4587|alpha=15|measure=wager_abstention,definite_false:bb_4587,definite_false,15.0,wager_abstention,0.9971990585327148
definite_false:qw_3732|alpha=15|measure=wager_abstention,definite_false:qw_3732,definite_false,15.0,wager_abstention,0.9933071732521057
definite_false:bb_7609|alpha=15|measure=wager_abstention,definite_false:bb_7609,definite_false,15.0,wager_abstention,0.9978172779083252
definite_correct:qb_4578|alpha=15|measure=wager_abstention,definite_correct:qb_4578,definite_correct,15.0,wager_abstention,0.07585818320512772
ambiguous:ambigqa_dev_-2861341002123248407|alpha=15|measure=wager_abstention,ambiguous:ambigqa_dev_-2861341002123248407,ambiguous,15.0,wager_abstention,0.9840936064720154
definite_correct:qb_9452|alpha=15|measure=wager_abstention,definite_correct:qb_9452,definite_correct,15.0,wager_abstention,0.0002611903182696551
definite_false:dpql_384|alpha=15|measure=wager_abstention,definite_false:dpql_384,definite_false,15.0,wager_abstention,0.9994471669197083
ambiguous:user_ambiguous_007|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_007,ambiguous,15.0,wager_abstention,0.9982993006706238
definite_false:tc_540|alpha=15|measure=wager_abstention,definite_false:tc_540,definite_false,15.0,wager_abstention,0.9964063763618469
definite_correct:qb_10132|alpha=15|measure=wager_abstention,definite_correct:qb_10132,definite_correct,15.0,wager_abstention,1.8925147742265835e-05
ambiguous:user_ambiguous_041|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_041,ambiguous,15.0,wager_abstention,0.18242551386356354
definite_false:tc_3120|alpha=15|measure=wager_abstention,definite_false:tc_3120,definite_false,15.0,wager_abstention,0.9980732202529907
ambiguous:user_ambiguous_074|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_074,ambiguous,15.0,wager_abstention,0.9959298968315125
definite_correct:bb_6024|alpha=15|measure=wager_abstention,definite_correct:bb_6024,definite_correct,15.0,wager_abstention,0.0010322310263291001
definite_correct:qb_4336|alpha=15|measure=wager_abstention,definite_correct:qb_4336,definite_correct,15.0,wager_abstention,2.7535690605873242e-05
definite_false:qb_3427|alpha=15|measure=wager_abstention,definite_false:qb_3427,definite_false,15.0,wager_abstention,0.9986749291419983
definite_correct:qb_6086|alpha=15|measure=wager_abstention,definite_correct:qb_6086,definite_correct,15.0,wager_abstention,0.9968273043632507
definite_correct:bb_1467|alpha=15|measure=wager_abstention,definite_correct:bb_1467,definite_correct,15.0,wager_abstention,0.8175744414329529
definite_correct:qw_5716|alpha=15|measure=wager_abstention,definite_correct:qw_5716,definite_correct,15.0,wager_abstention,0.9990890026092529
definite_false:bb_2616|alpha=15|measure=wager_abstention,definite_false:bb_2616,definite_false,15.0,wager_abstention,0.970687747001648
definite_correct:tc_1323|alpha=15|measure=wager_abstention,definite_correct:tc_1323,definite_correct,15.0,wager_abstention,0.3486451804637909
definite_correct:qw_4190|alpha=15|measure=wager_abstention,definite_correct:qw_4190,definite_correct,15.0,wager_abstention,0.00020342698553577065
definite_correct:qb_6581|alpha=15|measure=wager_abstention,definite_correct:qb_6581,definite_correct,15.0,wager_abstention,0.002182716503739357
definite_false:qb_2329|alpha=15|measure=wager_abstention,definite_false:qb_2329,definite_false,15.0,wager_abstention,0.9998205304145813
ambiguous:user_ambiguous_025|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_025,ambiguous,15.0,wager_abstention,0.8807970285415649
definite_correct:qb_5063|alpha=15|measure=wager_abstention,definite_correct:qb_5063,definite_correct,15.0,wager_abstention,0.00037998449988663197
definite_false:dpql_4977|alpha=15|measure=wager_abstention,definite_false:dpql_4977,definite_false,15.0,wager_abstention,0.9890130758285522
definite_correct:tc_955|alpha=15|measure=wager_abstention,definite_correct:tc_955,definite_correct,15.0,wager_abstention,0.9840936064720154
definite_false:tc_2257|alpha=15|measure=wager_abstention,definite_false:tc_2257,definite_false,15.0,wager_abstention,0.9998601675033569
ambiguous:user_ambiguous_093|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_093,ambiguous,15.0,wager_abstention,0.9982993006706238
definite_correct:qb_8074|alpha=15|measure=wager_abstention,definite_correct:qb_8074,definite_correct,15.0,wager_abstention,0.00020342698553577065
definite_false:dpql_4319|alpha=15|measure=wager_abstention,definite_false:dpql_4319,definite_false,15.0,wager_abstention,0.9975274205207825
ambiguous:ambigqa_train_4887157859291163116|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_4887157859291163116,ambiguous,15.0,wager_abstention,0.4378235340118408
ambiguous:user_ambiguous_061|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_061,ambiguous,15.0,wager_abstention,0.7310585975646973
definite_false:dpql_151|alpha=15|measure=wager_abstention,definite_false:dpql_151,definite_false,15.0,wager_abstention,0.004609571769833565
definite_correct:qb_2148|alpha=15|measure=wager_abstention,definite_correct:qb_2148,definite_correct,15.0,wager_abstention,0.9796676635742188
ambiguous:ambigqa_train_8846306718324708097|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_8846306718324708097,ambiguous,15.0,wager_abstention,0.01798621006309986
definite_correct:bb_6117|alpha=15|measure=wager_abstention,definite_correct:bb_6117,definite_correct,15.0,wager_abstention,0.9859364032745361
definite_false:dpql_2396|alpha=15|measure=wager_abstention,definite_false:dpql_2396,definite_false,15.0,wager_abstention,0.22270014882087708
definite_false:qb_1556|alpha=15|measure=wager_abstention,definite_false:qb_1556,definite_false,15.0,wager_abstention,0.02595735527575016
definite_false:qb_525|alpha=15|measure=wager_abstention,definite_false:qb_525,definite_false,15.0,wager_abstention,0.9997040629386902
definite_correct:qb_4948|alpha=15|measure=wager_abstention,definite_correct:qb_4948,definite_correct,15.0,wager_abstention,0.0010322310263291001
ambiguous:user_ambiguous_081|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_081,ambiguous,15.0,wager_abstention,0.2689414322376251
definite_correct:wh_1303|alpha=15|measure=wager_abstention,definite_correct:wh_1303,definite_correct,15.0,wager_abstention,0.9626730680465698
ambiguous:user_ambiguous_066|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_066,ambiguous,15.0,wager_abstention,0.9999339580535889
definite_false:dpql_5115|alpha=15|measure=wager_abstention,definite_false:dpql_5115,definite_false,15.0,wager_abstention,0.9997387528419495
ambiguous:user_ambiguous_020|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_020,ambiguous,15.0,wager_abstention,0.3775406777858734
ambiguous:user_ambiguous_073|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_073,ambiguous,15.0,wager_abstention,0.9996646642684937
definite_false:bb_968|alpha=15|measure=wager_abstention,definite_false:bb_968,definite_false,15.0,wager_abstention,0.9840936064720154
definite_correct:dpql_5223|alpha=15|measure=wager_abstention,definite_correct:dpql_5223,definite_correct,15.0,wager_abstention,0.9859364032745361
definite_false:qz_2428|alpha=15|measure=wager_abstention,definite_false:qz_2428,definite_false,15.0,wager_abstention,0.9740425944328308
ambiguous:synthetic_ambiguity_127bbb74d142df4c|alpha=15|measure=wager_abstention,ambiguous:synthetic_ambiguity_127bbb74d142df4c,ambiguous,15.0,wager_abstention,0.9996199607849121
definite_false:bb_77|alpha=15|measure=wager_abstention,definite_false:bb_77,definite_false,15.0,wager_abstention,0.9971990585327148
definite_correct:qb_3365|alpha=15|measure=wager_abstention,definite_correct:qb_3365,definite_correct,15.0,wager_abstention,0.9149009585380554
definite_false:qw_3500|alpha=15|measure=wager_abstention,definite_false:qw_3500,definite_false,15.0,wager_abstention,0.562176525592804
ambiguous:user_ambiguous_024|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_024,ambiguous,15.0,wager_abstention,0.9995121955871582
definite_false:bb_5849|alpha=15|measure=wager_abstention,definite_false:bb_5849,definite_false,15.0,wager_abstention,0.9820137619972229
definite_false:qw_2399|alpha=15|measure=wager_abstention,definite_false:qw_2399,definite_false,15.0,wager_abstention,0.9975274205207825
ambiguous:user_ambiguous_063|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_063,ambiguous,15.0,wager_abstention,0.9995694756507874
definite_false:dpql_4754|alpha=15|measure=wager_abstention,definite_false:dpql_4754,definite_false,15.0,wager_abstention,0.9914224743843079
definite_correct:wh_4041|alpha=15|measure=wager_abstention,definite_correct:wh_4041,definite_correct,15.0,wager_abstention,0.9525741338729858
ambiguous:user_ambiguous_054|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_054,ambiguous,15.0,wager_abstention,0.3208213150501251
definite_false:bb_6668|alpha=15|measure=wager_abstention,definite_false:bb_6668,definite_false,15.0,wager_abstention,0.9971990585327148
definite_false:qz_6898|alpha=15|measure=wager_abstention,definite_false:qz_6898,definite_false,15.0,wager_abstention,0.9971990585327148
definite_correct:dpql_216|alpha=15|measure=wager_abstention,definite_correct:dpql_216,definite_correct,15.0,wager_abstention,0.6791787147521973
definite_false:dpql_4205|alpha=15|measure=wager_abstention,definite_false:dpql_4205,definite_false,15.0,wager_abstention,0.9820137619972229
definite_false:tc_2556|alpha=15|measure=wager_abstention,definite_false:tc_2556,definite_false,15.0,wager_abstention,0.9995121955871582
definite_false:wh_451|alpha=15|measure=wager_abstention,definite_false:wh_451,definite_false,15.0,wager_abstention,0.9986749291419983
definite_correct:qz_3927|alpha=15|measure=wager_abstention,definite_correct:qz_3927,definite_correct,15.0,wager_abstention,0.02931223064661026
ambiguous:synthetic_ambiguity_db564851e7629ffa|alpha=15|measure=wager_abstention,ambiguous:synthetic_ambiguity_db564851e7629ffa,ambiguous,15.0,wager_abstention,0.8175744414329529
definite_false:tc_2728|alpha=15|measure=wager_abstention,definite_false:tc_2728,definite_false,15.0,wager_abstention,0.9998205304145813
ambiguous:user_ambiguous_069|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_069,ambiguous,15.0,wager_abstention,0.562176525592804
ambiguous:ambigqa_train_4701094121253884727|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_4701094121253884727,ambiguous,15.0,wager_abstention,0.9975274205207825
ambiguous:user_ambiguous_070|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_070,ambiguous,15.0,wager_abstention,0.9971990585327148
ambiguous:user_ambiguous_059|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_059,ambiguous,15.0,wager_abstention,0.4378235340118408
ambiguous:ambigqa_train_-4829972042995259834|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_-4829972042995259834,ambiguous,15.0,wager_abstention,0.22270014882087708
ambiguous:ambigqa_train_-5327098669371634148|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_-5327098669371634148,ambiguous,15.0,wager_abstention,0.9982993006706238
definite_correct:qb_3191|alpha=15|measure=wager_abstention,definite_correct:qb_3191,definite_correct,15.0,wager_abstention,0.000552778597921133
definite_false:qb_3296|alpha=15|measure=wager_abstention,definite_false:qb_3296,definite_false,15.0,wager_abstention,0.4378235340118408
definite_correct:qb_2932|alpha=15|measure=wager_abstention,definite_correct:qb_2932,definite_correct,15.0,wager_abstention,0.9241418242454529
definite_false:dpql_1695|alpha=15|measure=wager_abstention,definite_false:dpql_1695,definite_false,15.0,wager_abstention,0.9982993006706238
definite_false:qz_3440|alpha=15|measure=wager_abstention,definite_false:qz_3440,definite_false,15.0,wager_abstention,0.9933071732521057
definite_false:qb_936|alpha=15|measure=wager_abstention,definite_false:qb_936,definite_false,15.0,wager_abstention,0.8807970285415649
definite_false:qb_3624|alpha=15|measure=wager_abstention,definite_false:qb_3624,definite_false,15.0,wager_abstention,0.9982993006706238
definite_correct:qw_132|alpha=15|measure=wager_abstention,definite_correct:qw_132,definite_correct,15.0,wager_abstention,0.7310585975646973
ambiguous:ambigqa_dev_-9219689808672072116|alpha=15|measure=wager_abstention,ambiguous:ambigqa_dev_-9219689808672072116,ambiguous,15.0,wager_abstention,0.9991958737373352
definite_false:qb_2928|alpha=15|measure=wager_abstention,definite_false:qb_2928,definite_false,15.0,wager_abstention,0.9997040629386902
ambiguous:user_ambiguous_004|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_004,ambiguous,15.0,wager_abstention,0.01798621006309986
definite_false:tc_2506|alpha=15|measure=wager_abstention,definite_false:tc_2506,definite_false,15.0,wager_abstention,0.9975274205207825
definite_false:wh_527|alpha=15|measure=wager_abstention,definite_false:wh_527,definite_false,15.0,wager_abstention,0.9997965693473816
definite_correct:wh_3778|alpha=15|measure=wager_abstention,definite_correct:wh_3778,definite_correct,15.0,wager_abstention,0.7549149990081787
ambiguous:user_ambiguous_090|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_090,ambiguous,15.0,wager_abstention,0.9995121955871582
definite_false:bb_6487|alpha=15|measure=wager_abstention,definite_false:bb_6487,definite_false,15.0,wager_abstention,0.9933071732521057
ambiguous:ambigqa_dev_-2928173928559810904|alpha=15|measure=wager_abstention,ambiguous:ambigqa_dev_-2928173928559810904,ambiguous,15.0,wager_abstention,0.2689414322376251
definite_false:qb_6250|alpha=15|measure=wager_abstention,definite_false:qb_6250,definite_false,15.0,wager_abstention,0.9980732202529907
definite_correct:qw_243|alpha=15|measure=wager_abstention,definite_correct:qw_243,definite_correct,15.0,wager_abstention,0.7310585975646973
definite_false:qb_2899|alpha=15|measure=wager_abstention,definite_false:qb_2899,definite_false,15.0,wager_abstention,0.6791787147521973
ambiguous:synthetic_ambiguity_eccd45548d369037|alpha=15|measure=wager_abstention,ambiguous:synthetic_ambiguity_eccd45548d369037,ambiguous,15.0,wager_abstention,0.9991958737373352
definite_false:tc_3016|alpha=15|measure=wager_abstention,definite_false:tc_3016,definite_false,15.0,wager_abstention,0.9986749291419983
definite_false:qb_3225|alpha=15|measure=wager_abstention,definite_false:qb_3225,definite_false,15.0,wager_abstention,0.9996646642684937
definite_correct:dpql_2276|alpha=15|measure=wager_abstention,definite_correct:dpql_2276,definite_correct,15.0,wager_abstention,0.00010889690020121634
ambiguous:user_ambiguous_008|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_008,ambiguous,15.0,wager_abstention,0.9975274205207825
definite_correct:wh_51|alpha=15|measure=wager_abstention,definite_correct:wh_51,definite_correct,15.0,wager_abstention,0.9669140577316284
definite_false:dpql_2259|alpha=15|measure=wager_abstention,definite_false:dpql_2259,definite_false,15.0,wager_abstention,0.9975274205207825
ambiguous:synthetic_ambiguity_39e9eaa2e03e1780|alpha=15|measure=wager_abstention,ambiguous:synthetic_ambiguity_39e9eaa2e03e1780,ambiguous,15.0,wager_abstention,0.9859364032745361
definite_correct:qz_5801|alpha=15|measure=wager_abstention,definite_correct:qz_5801,definite_correct,15.0,wager_abstention,0.0002611903182696551
ambiguous:user_ambiguous_026|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_026,ambiguous,15.0,wager_abstention,0.9991958737373352
ambiguous:user_ambiguous_017|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_017,ambiguous,15.0,wager_abstention,0.6791787147521973
definite_correct:qb_9283|alpha=15|measure=wager_abstention,definite_correct:qb_9283,definite_correct,15.0,wager_abstention,0.9324532747268677
ambiguous:user_ambiguous_079|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_079,ambiguous,15.0,wager_abstention,0.970687747001648
ambiguous:ambigqa_train_6622540978806844416|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_6622540978806844416,ambiguous,15.0,wager_abstention,0.9968273043632507
ambiguous:user_ambiguous_005|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_005,ambiguous,15.0,wager_abstention,0.9978172779083252
definite_correct:qb_3684|alpha=15|measure=wager_abstention,definite_correct:qb_3684,definite_correct,15.0,wager_abstention,0.0001795279822545126
ambiguous:ambigqa_train_-4847378126974715981|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_-4847378126974715981,ambiguous,15.0,wager_abstention,0.5
ambiguous:user_ambiguous_033|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_033,ambiguous,15.0,wager_abstention,0.9149009585380554
definite_correct:qw_4882|alpha=15|measure=wager_abstention,definite_correct:qw_4882,definite_correct,15.0,wager_abstention,0.0031726828310638666
definite_correct:bb_5550|alpha=15|measure=wager_abstention,definite_correct:bb_5550,definite_correct,15.0,wager_abstention,0.7057850360870361
ambiguous:ambigqa_dev_2248395039731877618|alpha=15|measure=wager_abstention,ambiguous:ambigqa_dev_2248395039731877618,ambiguous,15.0,wager_abstention,0.9989677667617798
ambiguous:user_ambiguous_100|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_100,ambiguous,15.0,wager_abstention,0.8807970285415649
definite_correct:tc_2317|alpha=15|measure=wager_abstention,definite_correct:tc_2317,definite_correct,15.0,wager_abstention,0.0004878571489825845
ambiguous:synthetic_ambiguity_736399f8375cbe45|alpha=15|measure=wager_abstention,ambiguous:synthetic_ambiguity_736399f8375cbe45,ambiguous,15.0,wager_abstention,0.9995121955871582
definite_correct:bb_6465|alpha=15|measure=wager_abstention,definite_correct:bb_6465,definite_correct,15.0,wager_abstention,5.829126530443318e-05
ambiguous:user_ambiguous_056|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_056,ambiguous,15.0,wager_abstention,0.6791787147521973
definite_correct:wh_4358|alpha=15|measure=wager_abstention,definite_correct:wh_4358,definite_correct,15.0,wager_abstention,0.7772998809814453
definite_correct:wh_1933|alpha=15|measure=wager_abstention,definite_correct:wh_1933,definite_correct,15.0,wager_abstention,0.00033535013790242374
definite_false:bb_8205|alpha=15|measure=wager_abstention,definite_false:bb_8205,definite_false,15.0,wager_abstention,0.4378235340118408
definite_correct:bb_810|alpha=15|measure=wager_abstention,definite_correct:bb_810,definite_correct,15.0,wager_abstention,0.7772998809814453
definite_false:qw_3199|alpha=15|measure=wager_abstention,definite_false:qw_3199,definite_false,15.0,wager_abstention,0.9996199607849121
definite_correct:dpql_633|alpha=15|measure=wager_abstention,definite_correct:dpql_633,definite_correct,15.0,wager_abstention,0.00029595711384899914
definite_correct:tc_954|alpha=15|measure=wager_abstention,definite_correct:tc_954,definite_correct,15.0,wager_abstention,0.7772998809814453
ambiguous:ambigqa_train_-282133277527244056|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_-282133277527244056,ambiguous,15.0,wager_abstention,0.9992903470993042
ambiguous:user_ambiguous_084|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_084,ambiguous,15.0,wager_abstention,0.9995694756507874
definite_correct:qb_8861|alpha=15|measure=wager_abstention,definite_correct:qb_8861,definite_correct,15.0,wager_abstention,0.0008040859247557819
definite_correct:qz_1139|alpha=15|measure=wager_abstention,definite_correct:qz_1139,definite_correct,15.0,wager_abstention,5.829126530443318e-05
definite_correct:qb_2497|alpha=15|measure=wager_abstention,definite_correct:qb_2497,definite_correct,15.0,wager_abstention,5.829126530443318e-05
definite_correct:qb_1172|alpha=15|measure=wager_abstention,definite_correct:qb_1172,definite_correct,15.0,wager_abstention,0.18242551386356354
ambiguous:user_ambiguous_027|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_027,ambiguous,15.0,wager_abstention,0.9986749291419983
definite_false:qb_2370|alpha=15|measure=wager_abstention,definite_false:qb_2370,definite_false,15.0,wager_abstention,0.9995121955871582
definite_correct:qb_916|alpha=15|measure=wager_abstention,definite_correct:qb_916,definite_correct,15.0,wager_abstention,0.9914224743843079
ambiguous:user_ambiguous_062|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_062,ambiguous,15.0,wager_abstention,0.9933071732521057
definite_false:qw_3161|alpha=15|measure=wager_abstention,definite_false:qw_3161,definite_false,15.0,wager_abstention,0.9626730680465698
definite_false:qb_4446|alpha=15|measure=wager_abstention,definite_false:qb_4446,definite_false,15.0,wager_abstention,0.9796676635742188
definite_correct:qb_2151|alpha=15|measure=wager_abstention,definite_correct:qb_2151,definite_correct,15.0,wager_abstention,0.9982993006706238
definite_false:qb_4397|alpha=15|measure=wager_abstention,definite_false:qb_4397,definite_false,15.0,wager_abstention,0.9995121955871582
definite_correct:dpql_971|alpha=15|measure=wager_abstention,definite_correct:dpql_971,definite_correct,15.0,wager_abstention,0.8933094143867493
ambiguous:user_ambiguous_038|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_038,ambiguous,15.0,wager_abstention,0.9959298968315125
ambiguous:ambigqa_train_-6821663518687506172|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_-6821663518687506172,ambiguous,15.0,wager_abstention,0.9989677667617798
definite_false:tc_1535|alpha=15|measure=wager_abstention,definite_false:tc_1535,definite_false,15.0,wager_abstention,0.9996646642684937
ambiguous:user_ambiguous_075|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_075,ambiguous,15.0,wager_abstention,0.9999599456787109
ambiguous:ambigqa_dev_-1684587227477882737|alpha=15|measure=wager_abstention,ambiguous:ambigqa_dev_-1684587227477882737,ambiguous,15.0,wager_abstention,0.9994471669197083
ambiguous:synthetic_ambiguity_c51d6353acd62fc1|alpha=15|measure=wager_abstention,ambiguous:synthetic_ambiguity_c51d6353acd62fc1,ambiguous,15.0,wager_abstention,0.9399133324623108
definite_correct:qb_650|alpha=15|measure=wager_abstention,definite_correct:qb_650,definite_correct,15.0,wager_abstention,6.605214002775028e-05
definite_false:wh_2424|alpha=15|measure=wager_abstention,definite_false:wh_2424,definite_false,15.0,wager_abstention,0.0008040859247557819
ambiguous:user_ambiguous_088|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_088,ambiguous,15.0,wager_abstention,0.957912266254425
ambiguous:user_ambiguous_091|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_091,ambiguous,15.0,wager_abstention,0.8807970285415649
ambiguous:user_ambiguous_078|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_078,ambiguous,15.0,wager_abstention,0.012431650422513485
definite_correct:qb_9954|alpha=15|measure=wager_abstention,definite_correct:qb_9954,definite_correct,15.0,wager_abstention,5.144221358932555e-05
definite_correct:bb_4832|alpha=15|measure=wager_abstention,definite_correct:bb_4832,definite_correct,15.0,wager_abstention,0.09534946084022522
definite_false:qb_2901|alpha=15|measure=wager_abstention,definite_false:qb_2901,definite_false,15.0,wager_abstention,0.9991958737373352
definite_false:qb_355|alpha=15|measure=wager_abstention,definite_false:qb_355,definite_false,15.0,wager_abstention,0.02931223064661026
definite_false:qb_9682|alpha=15|measure=wager_abstention,definite_false:qb_9682,definite_false,15.0,wager_abstention,0.9978172779083252
ambiguous:ambigqa_train_6967337893340565499|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_6967337893340565499,ambiguous,15.0,wager_abstention,0.18242551386356354
definite_correct:qb_8250|alpha=15|measure=wager_abstention,definite_correct:qb_8250,definite_correct,15.0,wager_abstention,0.9953904151916504
definite_correct:qb_7921|alpha=15|measure=wager_abstention,definite_correct:qb_7921,definite_correct,15.0,wager_abstention,0.8933094143867493
definite_correct:dpql_3467|alpha=15|measure=wager_abstention,definite_correct:dpql_3467,definite_correct,15.0,wager_abstention,0.002800926798954606
ambiguous:user_ambiguous_064|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_064,ambiguous,15.0,wager_abstention,0.9990890026092529
definite_false:qb_4987|alpha=15|measure=wager_abstention,definite_false:qb_4987,definite_false,15.0,wager_abstention,0.9989677667617798
definite_false:qw_4953|alpha=15|measure=wager_abstention,definite_false:qw_4953,definite_false,15.0,wager_abstention,0.9964063763618469
ambiguous:user_ambiguous_099|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_099,ambiguous,15.0,wager_abstention,0.9986749291419983
definite_false:wh_1706|alpha=15|measure=wager_abstention,definite_false:wh_1706,definite_false,15.0,wager_abstention,0.9914224743843079
